node,date,cumulative_bundles,cumulative_collections,target_bundles,target_collections
PDS_GEO,2026-07-14,299,2134,326,2536
PDS_GEO,2026-07-16,299,2140,326,2536
PDS_GEO,2026-07-20,302,2170,326,2536
PDS_IMG,2023-06-08,0,8,185,2620
PDS_IMG,2023-06-09,0,25,185,2620
PDS_IMG,2023-06-10,0,31,185,2620
PDS_IMG,2023-06-11,0,34,185,2620
PDS_IMG,2023-06-12,0,38,185,2620
PDS_IMG,2023-06-13,0,41,185,2620
PDS_IMG,2023-06-14,0,42,185,2620
PDS_IMG,2023-06-17,0,43,185,2620
PDS_IMG,2023-06-18,0,44,185,2620
PDS_IMG,2023-08-16,2,52,185,2620
PDS_IMG,2023-10-05,2,54,185,2620
PDS_IMG,2024-02-16,2,58,185,2620
PDS_IMG,2024-02-21,2,65,185,2620
PDS_IMG,2024-02-22,2,69,185,2620
PDS_IMG,2024-02-28,2,70,185,2620
PDS_IMG,2024-02-29,2,76,185,2620
PDS_IMG,2024-03-07,2,79,185,2620
PDS_IMG,2024-03-27,2,82,185,2620
PDS_IMG,2024-12-10,3,91,185,2620
PDS_IMG,2024-12-11,3,95,185,2620
PDS_IMG,2024-12-12,3,96,185,2620
PDS_IMG,2024-12-13,6,101,185,2620
PDS_IMG,2024-12-14,10,111,185,2620
PDS_IMG,2024-12-15,12,118,185,2620
PDS_IMG,2024-12-16,19,126,185,2620
PDS_IMG,2024-12-17,19,128,185,2620
PDS_IMG,2024-12-18,19,142,185,2620
PDS_IMG,2024-12-19,19,144,185,2620
PDS_IMG,2024-12-20,19,146,185,2620
PDS_IMG,2024-12-22,19,149,185,2620
PDS_IMG,2024-12-23,19,150,185,2620
PDS_IMG,2024-12-27,19,151,185,2620
PDS_IMG,2024-12-28,19,152,185,2620
PDS_IMG,2024-12-29,19,155,185,2620
PDS_IMG,2024-12-31,19,156,185,2620
PDS_IMG,2025-01-03,19,162,185,2620
PDS_IMG,2025-01-06,19,171,185,2620
PDS_IMG,2025-01-07,19,183,185,2620
PDS_IMG,2025-01-11,19,185,185,2620
PDS_IMG,2025-01-14,19,187,185,2620
PDS_IMG,2025-01-15,19,189,185,2620
PDS_IMG,2025-01-17,19,190,185,2620
PDS_IMG,2025-01-18,19,195,185,2620
PDS_IMG,2025-01-21,19,196,185,2620
PDS_IMG,2025-01-23,19,197,185,2620
PDS_IMG,2025-01-25,19,199,185,2620
PDS_IMG,2025-01-27,20,206,185,2620
PDS_IMG,2025-01-28,21,214,185,2620
PDS_IMG,2025-01-29,21,221,185,2620
PDS_IMG,2025-01-30,21,222,185,2620
PDS_IMG,2025-01-31,21,227,185,2620
PDS_IMG,2025-02-02,21,228,185,2620
PDS_IMG,2025-02-04,21,229,185,2620
PDS_IMG,2025-02-05,23,238,185,2620
PDS_IMG,2025-02-06,24,254,185,2620
