node,lidvid,product_class,harvest_date
PSA,urn:esa:psa:bc_mpo_berm::9.2,Product_Bundle,2023-09-20T16:02:15.545599Z
PSA,urn:esa:psa:bc_mpo_berm::9.3,Product_Bundle,2023-09-20T16:02:15.699550Z
PSA,urn:esa:psa:bc_mpo_berm::9.4,Product_Bundle,2023-09-20T16:02:15.885504Z
PSA,urn:esa:psa:bc_mpo_isa::1.0,Product_Bundle,2023-09-20T15:18:47.386176Z
PSA,urn:esa:psa:bc_mpo_isa::1.1,Product_Bundle,2023-09-20T15:47:19.681003Z
PSA,urn:esa:psa:bc_mpo_isa::1.2,Product_Bundle,2023-09-20T15:47:19.886084Z
PSA,urn:esa:psa:bc_mpo_isa::1.3,Product_Bundle,2023-09-20T15:47:20.147434Z
PSA,urn:esa:psa:bc_mpo_isa::1.4,Product_Bundle,2023-09-20T15:47:20.256123Z
PSA,urn:esa:psa:bc_mpo_isa::10.0,Product_Bundle,2023-09-20T15:49:44.692757Z
PSA,urn:esa:psa:bc_mpo_isa::10.1,Product_Bundle,2023-09-20T15:49:45.309451Z
PSA,urn:esa:psa:bc_mpo_isa::10.2,Product_Bundle,2023-09-20T15:49:45.752758Z
PSA,urn:esa:psa:bc_mpo_isa::10.3,Product_Bundle,2023-09-20T15:49:46.230687Z
PSA,urn:esa:psa:bc_mpo_isa::10.4,Product_Bundle,2023-09-20T15:49:46.734120Z
PSA,urn:esa:psa:bc_mpo_isa::11.0,Product_Bundle,2023-09-20T15:49:47.291795Z
PSA,urn:esa:psa:bc_mpo_isa::11.1,Product_Bundle,2023-09-20T15:49:47.650699Z
PSA,urn:esa:psa:bc_mpo_isa::11.2,Product_Bundle,2023-09-20T15:49:48.413539Z
PSA,urn:esa:psa:bc_mpo_isa::11.3,Product_Bundle,2023-09-20T15:49:55.417431Z
PSA,urn:esa:psa:bc_mpo_isa::11.4,Product_Bundle,2023-09-20T15:49:56.677991Z
PSA,urn:esa:psa:bc_mpo_isa::12.0,Product_Bundle,2023-09-20T15:49:57.695579Z
PSA,urn:esa:psa:bc_mpo_isa::12.1,Product_Bundle,2023-09-20T15:49:58.492115Z
PSA,urn:esa:psa:bc_mpo_isa::12.2,Product_Bundle,2023-09-20T15:49:59.895007Z
PSA,urn:esa:psa:bc_mpo_isa::12.3,Product_Bundle,2023-09-20T15:50:00.629063Z
PSA,urn:esa:psa:bc_mpo_isa::13.0,Product_Bundle,2023-09-20T15:50:00.826397Z
PSA,urn:esa:psa:bc_mpo_isa::13.1,Product_Bundle,2023-09-20T15:50:01.230477Z
PSA,urn:esa:psa:bc_mpo_isa::2.0,Product_Bundle,2023-09-20T15:47:20.709770Z
PSA,urn:esa:psa:bc_mpo_isa::2.1,Product_Bundle,2023-09-20T15:47:20.979327Z
PSA,urn:esa:psa:bc_mpo_isa::2.10,Product_Bundle,2023-09-20T15:47:22.655583Z
PSA,urn:esa:psa:bc_mpo_isa::2.11,Product_Bundle,2023-09-20T15:47:23.040613Z
PSA,urn:esa:psa:bc_mpo_isa::2.12,Product_Bundle,2023-09-20T15:47:23.122807Z
PSA,urn:esa:psa:bc_mpo_isa::2.13,Product_Bundle,2023-09-20T15:47:23.287735Z
PSA,urn:esa:psa:bc_mpo_isa::2.14,Product_Bundle,2023-09-20T15:47:23.814940Z
PSA,urn:esa:psa:bc_mpo_isa::2.15,Product_Bundle,2023-09-20T15:47:24.123797Z
PSA,urn:esa:psa:bc_mpo_isa::2.16,Product_Bundle,2023-09-20T15:47:24.286033Z
PSA,urn:esa:psa:bc_mpo_isa::2.17,Product_Bundle,2023-09-20T15:47:24.482Z
PSA,urn:esa:psa:bc_mpo_isa::2.18,Product_Bundle,2023-09-20T15:47:24.590569Z
PSA,urn:esa:psa:bc_mpo_isa::2.2,Product_Bundle,2023-09-20T15:47:21.095573Z
PSA,urn:esa:psa:bc_mpo_isa::2.3,Product_Bundle,2023-09-20T15:47:21.212114Z
PSA,urn:esa:psa:bc_mpo_isa::2.4,Product_Bundle,2023-09-20T15:47:21.502742Z
